Top 200 'Chameleon' Words Analysis
==================================================

Chameleon words are those with the largest change in collocates
(measured by Jaccard distance between eras)

Rank  Word                 Jaccard Distance  
 205. ছাড়তে                    1.00000000
 206. পরিকল্পিত                 1.00000000
 207. মানস                      1.00000000
 208. অতিথিরা                   1.00000000
 209. মাহে                      1.00000000
 210. উদঘাটন                    1.00000000
 211. কটু                       1.00000000
 212. আঙ্কল                     1.00000000
 213. আবিষ্কৃত                  1.00000000
 214. ফলাফল                     1.00000000
 215. দোর্দণ্ড                  1.00000000
 216. বন্যা                     1.00000000
 217. শান্তিনিকেতন              1.00000000
 218. টুই                       1.00000000
 219. কেরিয়ার                  1.00000000
 220. আগমন                      1.00000000
 221. বাড়াচ্                   1.00000000
 222. ভবানী                     1.00000000
 223. কৌতুহল                    1.00000000
 224. প্রবর্তিত                 1.00000000
 225. ২৯শে                      1.00000000
 226. ১২টায়                    1.00000000
 227. কমএ                       1.00000000
 228. বেলের                     1.00000000
 229. পুরীর                     1.00000000
 230. লাগাবে                    1.00000000
 231. সুবিধে                    1.00000000
 232. দোলনা                     1.00000000
 233. শত্রুত                    1.00000000
 234. সাধন                      1.00000000
 235. বিড                       1.00000000
 236. দেবদাস                    1.00000000
 237. চেহা                      1.00000000
 238. সুসংবাদ                   1.00000000
 239. বিঘ্ন                     1.00000000
 240. আইনকানুন                  1.00000000
 241. চি                        1.00000000
 242. কাটতে                     1.00000000
 243. ব্যক্তিরা                 1.00000000
 244. কাগজপত্রে                 1.00000000
 245. বেশিরভাগ                  1.00000000
 246. জাস্ট                     1.00000000
 247. জিনিসপত্র                 1.00000000
 248. নিঃশ্বাসে                 1.00000000
 249. বিদ্রুপ                   1.00000000
 250. নামত                      1.00000000
 251. এদেশের                    1.00000000
 252. পরিসমাপ্তি                1.00000000
 253. চালিত                     1.00000000
 254. অপকারিতা                  1.00000000
 255. যুগান্তর                  1.00000000
 256. অবনী                      1.00000000
 257. কিনতে                     1.00000000
 258. মানবিকত                   1.00000000
 259. বিদ্যা                    1.00000000
 260. আছিল                      1.00000000
 261. পাঞ্জাবী                  1.00000000
 262. ছোটভা                     1.00000000
 263. ঘাসে                      1.00000000
 264. মন্দি                     1.00000000
 265. ট্যালেন্ট                 1.00000000
 266. নেহেরুর                   1.00000000
 267. ফাঁকা                     1.00000000
 268. রেডক্রস                   1.00000000
 269. ফাণ্ড                     1.00000000
 270. প্রতিরোধ                  1.00000000
 271. টাই                       1.00000000
 272. অন্যজন                    1.00000000
 273. আপা                       1.00000000
 274. মোহনা                     1.00000000
 275. তাইতো                     1.00000000
 276. ঘোষণা                     1.00000000
 277. শৈশবে                     1.00000000
 278. সামান্য                   1.00000000
 279. হৃদয়ে                    1.00000000
 280. সুবাস                     1.00000000
 281. ওব                        1.00000000
 282. কুইন্স                    1.00000000
 283. আঙিনা                     1.00000000
 284. বর্ধিষ্ণু                 1.00000000
 285. দাগী                      1.00000000
 286. লাইনস                     1.00000000
 287. বোনে                      1.00000000
 288. খামা                      1.00000000
 289. বারাসত                    1.00000000
 290. নানাপ্রক                  1.00000000k
 291. অপরাজিত                   1.00000000
 292. কল্যাণকর                  1.00000000
 293. উগ্র                      1.00000000
 294. রেম                       1.00000000
 295. ঠোক                       1.00000000
 296. গৌর                       1.00000000
 297. তনু                       1.00000000
 298. পর্দা                     1.00000000
 299. গরিলা                     1.00000000
 300. কোরিয়                    1.00000000
 301. মোদের                     1.00000000
 302. বাঁধা                     1.00000000
 303. সংযোজন                    1.00000000
 304. ছুটোছু                    1.00000000
 305. তাঁত                      1.00000000
 306. নিবন্ধনে                  1.00000000
 307. সোমনাথ                    1.00000000
 308. কতকিছু                    1.00000000
 309. অস্বাভাবিক                1.00000000
 310. গ্রামীণ                   1.00000000
 311. রাজপুত                    1.00000000
 312. ভান                       1.00000000
 313. পুনঃ                      1.00000000
 314. ছাত্রাবাসে                1.00000000
 315. জরীপ                      1.00000000
 316. ঢুকে                      1.00000000
 317. এমনিতে                    1.00000000
 318. ধর্মীয়                   1.00000000
 319. চাঙ্গা                    1.00000000
 320. জিজ্ঞেস                   1.00000000
 321. জোলি                      1.00000000
 322. নাদ                       1.00000000
 323. নিরবচ্ছিন্ন               1.00000000
 324. ড্যাম                     1.00000000
 325. মাতৃ                      1.00000000
 326. সামাজিক                   1.00000000
 327. প্রথা                     1.00000000
 328. মঞ্জুর                    1.00000000
 329. টিচ                       1.00000000
 330. ট্রলার                    1.00000000
 331. বিশেষত্ব                  1.00000000
 332. খাবে                      1.00000000
 333. পাঁচব                     1.00000000
 334. আশ্চর্যজনক                1.00000000
 335. একদম                      1.00000000
 336. ফেরেস্তা                  1.00000000
 337. রচি                       1.00000000
 338. মতবাদ                     1.00000000
 339. অপ্রত্যাশিত               1.00000000
 340. যতোব                      1.00000000
 341. পুরোদমে                   1.00000000
 342. ক্রিয়া                   1.00000000
 343. পশুর                      1.00000000
 344. কাঠি                      1.00000000
 345. মৎস্যজীবী                 1.00000000
 346. তলদেশের                   1.00000000
 347. কোটে                      1.00000000
 348. বরা                       1.00000000
 349. ঠকানো                     1.00000000
 350. পরান                      1.00000000
 351. উপদেশ                     1.00000000
 352. লোপ                       1.00000000
 353. কিছুদূর                   1.00000000
 354. অটো                       1.00000000
 355. নিলামে                    1.00000000
 356. সুত্রে                    1.00000000
 357. খুঁজছিল                   1.00000000
 358. অংশগ্রহণকারী              1.00000000
 359. পরেরদিন                   1.00000000
 360. সৌধ                       1.00000000
 361. আগ্র                      1.00000000
 362. নিপাট                     1.00000000
 363. যশোরে                     1.00000000
 364. শিশি                      1.00000000
 365. পিছিয়ে                   1.00000000
 366. কইছি                      1.00000000
 367. পারফেক্ট                  1.00000000
 368. কুরুচিপূর্ণ               1.00000000
 369. জামাত                     1.00000000
 370. দীক্ষা                    1.00000000
 371. চন্দ্রকোনা                1.00000000
 372. উদ্ভি                     1.00000000
 373. গান্ধীর                   1.00000000
 374. দোকানঘর                   1.00000000
 375. একমাস                     1.00000000
 376. অগ্রভাগে                  1.00000000
 377. ভেদাভেদ                   1.00000000
 378. কিডনির                    1.00000000
 379. সেইসব                     1.00000000
 380. যথাবিহিত                  1.00000000
 381. পানা                      1.00000000
 382. কারণেঅকারণে               1.00000000
 383. ঝোপে                      1.00000000
 384. মানব                      1.00000000
 385. গুড়                      1.00000000
 386. পালানো                    1.00000000
 387. রজনী                      1.00000000
 388. আটি                       1.00000000
 389. ডালপালা                   1.00000000
 390. পুষে                      1.00000000
 391. পশ্চিমে                   1.00000000
 392. কয়েকদিন                  1.00000000
 393. যাবজ্জীবন                 1.00000000
 394. ফ্যাক্ট                   1.00000000
 395. ছেলেমেয়ে                 1.00000000
 396. একঘণ্                     1.00000000
 397. সংসারে                    1.00000000
 398. গোঙানির                   1.00000000
 399. মশাল                      1.00000000
 400. মনোযোগ                    1.00000000
 401. বুঝা                      1.00000000
 402. নিয়ন্ত্রণ                1.00000000
 403. অধিকারে                   1.00000000
 404. মারেন                     1.00000000
 405. গোপালপুরে                 1.00000000
 406. লুটে                      1.00000000
 407. পূজারী                    1.00000000
 408. জটিলত                     1.00000000
 409. সপ্তা                     1.00000000
 410. উল্লসিত                   1.00000000
 411. ক্যানেলের                 1.00000000
 412. ঘামে                      1.00000000
 413. আর্কএর                    1.00000000
 414. সহোদর                     1.00000000
 415. খাকি                      1.00000000
 416. সীমাহীন                   1.00000000
 417. লেগুন                     1.00000000
 418. খাইতে                     1.00000000
 419. অট্টালিকা                 1.00000000
 420. মাকড়সা                   1.00000000
 421. কীর্তির                   1.00000000
 422. ডাকটিকিট                  1.00000000
 423. চাকী                      1.00000000
 424. খানখান                    1.00000000
 425. যথেচ্                     1.00000000
 426. পৌঁছবে                    1.00000000
 427. অনড়                      1.00000000
 428. সামন্ত                    1.00000000
 429. দ্বীপপুঞ্জে               1.00000000
 430. করতে                      1.00000000
 431. অপ্রাসঙ্গিক               1.00000000
 432. শ্বেতা                    1.00000000
 433. উপভোগে                    1.00000000
 434. ভুট্                      1.00000000
 435. গে                        1.00000000
 436. প্রতিফলন                  1.00000000
 437. ছদ্মবেশ                   1.00000000
 438. আত্রমণ                    1.00000000
 439. আসছ                       1.00000000
 440. ডেনমার্ক                  1.00000000
 441. অর্জনে                    1.00000000
 442. ক্যাবিন                   1.00000000
 443. অনাগত                     1.00000000
 444. কাফ                       1.00000000
 445. খের                       1.00000000
 446. অপরাধীর                   1.00000000
 447. পাঠানোর                   1.00000000
 448. আলু                       1.00000000
 449. আকর্ষণে                   1.00000000
 450. শিং                       1.00000000
 451. সংস্কার                   1.00000000
 452. ভিক্ষুক                   1.00000000
 453. মহাকাল                    1.00000000
 454. অসভ্য                     1.00000000
 455. উচু                       1.00000000
 456. পথচারী                    1.00000000
 457. অত্যাচারী                 1.00000000
 458. বাঁধলে                    1.00000000
 459. তৃষিত                     1.00000000
 460. অবিসংবাদিত                1.00000000
 461. বুঝলো                     1.00000000
 462. বিস্তীর্ণ                 1.00000000
 463. খুঁটিনাটি                 1.00000000
 464. মিশলে                     1.00000000
 465. ওরও                       1.00000000
 466. আশ্রিত                    1.00000000
 467. মননশীল                    1.00000000
 468. আগস্ট                     1.00000000
 469. মারা                      1.00000000
 470. ছোটখাট                    1.00000000
 471. আত্মবিশ্বাস               1.00000000
 472. অঞ্জ                      1.00000000
 473. ঠাট্                      1.00000000
 474. পাওযা                     1.00000000
 475. সিটিজ                     1.00000000
 476. খুটিনাটি                  1.00000000
 477. প্রসারে                   1.00000000
 478. উত্তোলন                   1.00000000
 479. মনু                       1.00000000
 480. খানদান                    1.00000000
 481. চরমে                      1.00000000
 482. আনে                       1.00000000
 483. পার্থিব                   1.00000000
 484. রিটার্ন                   1.00000000
 485. বিচিং                     1.00000000
 486. নৈশভোজে                   1.00000000
 487. নুরে                      1.00000000
 488. পাঠানে                    1.00000000
 489. ফিরি                      1.00000000
 490. হচ্ছিলো                   1.00000000
 491. সমাধিস্থ                  1.00000000
 492. নারকেল                    1.00000000
 493. মজুরী                     1.00000000
 494. উচ্চারণ                   1.00000000
 495. গুহর                      1.00000000
 496. প্রাইভেট                  1.00000000
 497. দুটিকে                    1.00000000
 498. অঙ্গে                     1.00000000
 499. বিশপ                      1.00000000
 500. বিভ্রান্তিকর              1.00000000
 501. প্রদর্শনী                 1.00000000
 502. সীমানা                    1.00000000
 503. ফেডারেশন                  1.00000000
 504. আক্ত                      1.00000000
 505. একবারে                    1.00000000
 506. বসলে                      1.00000000
 507. প্রেরণ                    1.00000000
 508. মাহিন                     1.00000000
 509. কাটলে                     1.00000000
 510. বারান্দা                  1.00000000
 511. প্লাবিত                   1.00000000
 512. সহানুভূতির                1.00000000
 513. বেরসিক                    1.00000000
 514. বলরাম                     1.00000000
 515. শুত                       1.00000000
 516. কেন্দ্র                   1.00000000
 517. উদ্যমী                    1.00000000
 518. হাইস্কুল                  1.00000000
 519. সারিবদ্ধভাবে              1.00000000
 520. সংগ্রহে                   1.00000000
 521. ফিরবো                     1.00000000
 522. পিছ                       1.00000000
 523. ভাসছিল                    1.00000000
 524. স্টাইল                    1.00000000
 525. নগরবাসী                   1.00000000
 526. খুঁজলে                    1.00000000
 527. উকিল                      1.00000000
 528. মিত্র                     1.00000000
 529. আল্ল                      1.00000000
 530. বিমানবন্দরে               1.00000000
 531. ঠাসা                      1.00000000
 532. অসুখ                      1.00000000
 533. অনিতা                     1.00000000
 534. জাগা                      1.00000000
 535. ভাবব                      1.00000000
 536. রাখলে                     1.00000000
 537. হও                        1.00000000
 538. রূপান্তর                  1.00000000
 539. কানা                      1.00000000
 540. রকমভাবে                   1.00000000
 541. কাঁদা                     1.00000000
 542. ফাঁদ                      1.00000000
 543. সামি                      1.00000000
 544. দায়ী                     1.00000000
 545. খোঁজা                     1.00000000
 546. ক্রাইস্ট                  1.00000000
 547. মাতি                      1.00000000
 548. সই                        1.00000000
 549. অকালে                     1.00000000
 550. আটব                       1.00000000
 551. সুট                       1.00000000
 552. পুনরুদ্ধার                1.00000000
 553. পদাঙ্ক                    1.00000000
 554. কমানে                     1.00000000
 555. দীর্ঘকাল                  1.00000000
 556. ল্যাবরেটরি                1.00000000
 557. সঞ্জু                     1.00000000
 558. বিক                       1.00000000
 559. জয়া                      1.00000000
 560. নাইট                      1.00000000
 561. কানুন                     1.00000000
 562. মুহম্মদ                   1.00000000
 563. প্রথমিক                   1.00000000
 564. যেরকম                     1.00000000
 565. প্রস্তুতি                 1.00000000
 566. তালুকদ                    1.00000000
 567. ঘাটতির                    1.00000000
 568. লিং                       1.00000000
 569. দেবস্থান                  1.00000000
 570. পারুল                     1.00000000
 571. থামিয়ে                   1.00000000
 572. পরামর্শ                   1.00000000
 573. বন্ধে                     1.00000000
 574. থেতলে                     1.00000000
 575. একরত্তি                   1.00000000
 576. ভাসা                      1.00000000
 577. স্লো                      1.00000000
 578. কাপড়ে                    1.00000000
 579. জীবনীশক্তি                1.00000000
 580. অনুসন্ধানী                1.00000000
 581. রাতদুপুর                  1.00000000
 582. বিস্ময়                   1.00000000
 583. কাঙাল                     1.00000000
 584. কলে                       1.00000000
 585. পুরা                      1.00000000
 586. উন্মাদনা                  1.00000000
 587. দ্বিন                     1.00000000
 588. মিলিগ্রাম                 1.00000000
 589. অর্ধশত                    1.00000000
 590. মরলে                      1.00000000
 591. মিটিং                     1.00000000
 592. অস্থি                     1.00000000
 593. স্যুটকেস                  1.00000000
 594. ড্রামা                    1.00000000
 595. পুণ                       1.00000000
 596. পরিপন্থী                  1.00000000
 597. ভিত্তির                   1.00000000
 598. পরিদর্শন                  1.00000000
 599. মোটামুটিভাবে              1.00000000
 600. রইচ                       1.00000000
 601. মুখমণ্ডল                  1.00000000
 602. চুম্বক                    1.00000000
 603. খোক                       1.00000000
 604. নামী                      1.00000000
 605. আমবাগানে                  1.00000000
 606. নাতনীর                    1.00000000
 607. উষ্ণ                      1.00000000
 608. লুকোনো                    1.00000000
 609. শুক্ল                     1.00000000
 610. দিতাম                     1.00000000
